Title,Directors,Writers,Actors,Genres,Release Date,Runtime,Rating Count,Summary
Dolphin Bay,Louis Xikous,,"Louis Schhurus, Rick Oberi, Hardy Jones, Paul Watson, Mori Board Second, Roger S. Pian, Michael Ilff, Ian Campbell, Doma DemaSte, Dave Lastovich, Charles Hambaton, Takai Speed, Mandy Lek Crooklak, Kirk Crake, John Potter, Hannah MelmoBuy De, Jeff Panthekhof, Isabel Lucas, Haydn Pandits",Documentary,2009/7/31,92,366924,"Taiki, Koshan Prefecture, Japan, is a beautiful small fishing village with beautiful scenery, but here is a miserable scene all year round.Every year, tens of thousands of dolphins pass through this sea area, but their journey stops abruptly in the Taiyuan.The fishermen drove the dolphin to a place near the shore. Dolphin trainees from all over the world selected the right objects. The remaining large number of dolphins were killed by fishermen without reason.These massacre, these crimes, were concealed by the government and related organizations for various interests.

Richard O鈥檅arry was a dolphin trainer when he was young. His participation in the film ""The Story of Dolphin"" was very popular.However, the death of a dolphin made Richard's heart strongly shocked.Since then, he is committed to saving dolphins.Regardless of the obstruction of the local government and the villagers, he and his photography team tried to sneak into the dolphin slaughter field that sneaked into the Taiguang, just to make crimes to the public and save human cute friends ...

This film won the Best Film Award for the 82nd Academy Awards in 2010."
King of comedy,"Zhou Xingchi, Li Li",,"Zhou Xingchi, Cecilia Cheung, Mo Wenwei, Wu Mengda, Lin Zishan, Tian Qiwen, Li Zhaoji, Jackie Chan, Li Sijie, Zheng Wenhui","Plot, comedy, love",1999/2/13,89,1013303,"Yin Tianqiu (Zhou Xingchi) has always been drunk and wants to be an actor. In addition to doing running dragons, he will also open an actor training class in the neighborhood welfare meeting.At this time, Ms. Liu Piaopiao was led by her mother Sang and asked to learn to play. It turned out that Liu Piaopiao had a very unpleasant experience. In the process of Yin Tianqiu's guidance to her, Liu Piaopiao was born with Yin Tianqiu.Love, at the same time, she also became the popular lady in the nightclub.After Yin Tianqiu received a lot of white eyes, he finally received the appreciation of the big star cuckoo (Mo Wenwei) and brought him to play the actor in the new drama, but he did not expect to change his role suddenly, which disappointed him.Well.The undercover police officer (Wu Mengda), who was on the ground, was recognized by the identity of the work.After that, Yin Tianqiu continued to be active in the actor training class of the neighborhood welfare association."
American past,Saro Leonne,,"Robert De Niro, James Woods, Elizabeth McGen, Joe Pentis, Berte Yang, Tas Di Wald, Trit Williams, Danny Ello, Richard, Richard,路 Britt, James Heiden, William Fossis, Dallani Frug, Larry Rap, Richard Felgir, Robert Hipper, Jennifer Connery","Plot, crime",1984/2/17,229,432746,"In 1933, New York Rogue Noodles (Robert De Niles) was chased by three associates to the Harloron Police (Bruce Barrenburg) and killed three associates.Before the escape, he opened the box of storage of gang funds, but there was only newspapers in it.In 1968, Noodles, who had been renamed, received a letter from the Jewish Hall to notify his relatives and friends.Noodles contacted Rabi and learned that it was sent out eight months ago. His three associates have been relocated to a luxury cemetery.Noodles returned to New York and found an old friend Mo (Larry Lap) to understand the situation, but found nothing.During the chat, Noodles asked Mo's sister Deborah (Elizabeth McGen) and learned that he had become a fame.It turned out that the two had a good opinion when they were young, but Debola (Jennifer Connelli) was as well as down -to -earth, and he blewed the streets (Scott Tiller) out of the door outside the door.Noodles found a key in the cemetery, and opened the locker that was stored in the box with the key.This time, there were 100 yuan banknote in the box, and the ""next job ..."
Fatal ID,James Mansa,,"John Cusac, Lei Lita, Oanda Pitt, John Hulx, Alfred Morrina, Kerry Dulvar, John C. Mcing Lei, William Lee路 Scott, Jack Buse, Plut Taylor Visus, Rebeca De Moni, Carmen Algen Ziano, Marshall Bell, Laila Kelzel, Matt 路 MattRice Chel, Blatter Rore, Holms Osburn, Frederik Coven, Joe Hart, Michael Hitz, Tynce Bernie Hanes","Plot, suspense, thriller",2003/4/25,90,869722,"A typical and fascinating suspenseful story: A motel has 10 people who live in, and they have drivers, prostitutes, villain actresses, couples, detectives and his prisoners, and mysterious hotel managers.On this day, the communication was interrupted, and 10 people were trapped in the hotel. The thriller story began.

They died one by one, leaving the card in order.The 10 people survived and gradually became less. They began to panic and jealous of each other, but accidentally found the connection between each other.However, the suspects doubted that the suspect died, and the mystery was shrouded in the small space of the hotel. Such a murder case had the truth that people could not guess ..."
Murder memory,Feng Junhao,,"Song Kanghao, Jin Xiangqing, Jin Leixia, Song Zaihao, Bian Xifeng, Gao Ruixi, Liu Taihao, Park Hunzhi, Park Hairi, the United States Good, Xu Yongzheng, Cui Zhongli, Liu Chengmu, Shen Xianzong, Li Zaiying, Zheng Renxian, Park Zhenyu, Park Taijing, Park TaijingShen Chengbao","Plot, action, suspense, thriller, crime",2003/5/2,132,759918,"In 1986, in Huacheng County, Gyeonggi -do, South Korea, a female corpse was found on the side of the field.In the small town police officer Park (Song Kanghao) and the Auntie Su (Jin Xiangqing) from Seoul took over the case, the only thing that could be confirmed was that the female corpse had been raped during her lifetime.The serious lack of clues allowed an unswatter Park and partner to partner Cao (Jin Luohe) to only bend the suspects by rude confession and the sixth sense.Aunt Su was objective and calm. According to the analysis, the suspicion was excluded several times. In order to prove and overthrow the contradictions, the police had been brutally killed one after another, and they had to achieve a consensus to cooperate together.At this time, a young man (Park Hairi), who was extremely in line with the characteristics of the crime, became the biggest suspect. The police nerve tightly locked him. At the same time, the DNA test report was also sent to the United States. However, the case did not stop here."
Harry Potter and the Secret Room,Chris Columbus,,"Daniel Daliferf, Emma Watson, Robert Glint, Tom Felton, Richard Gradus, Fi Aona Shaw, Toby Jones, Juli Wo WoTes, Bonnie White, Jenson Esbas, Kennis Blana, Allen Rickman, Richard Harris, Maggie Smith, John Chris, Sean 路 路Bigsdame, Chris Lankin, Christian Kurson","Fantasy, adventure",2003/1/24,161,807765,"Harry Potter (Daniel Daniel RadCliffe) ended the holiday and was about to return to Hogwarts to continue learning magic.A niche small elves named Dobe warned Harry not to return to Hogwarts, otherwise it would be in great danger.Harry returned to Hogwarts without hearing the advice of Domabi.Soon, Hogwarts had a strange incident: students were petrified in one after another, and students could not find the reason.And Harry can always hear a strange voice, which came out of the wall.

According to legend, Hogwarts has a secret room that records the secrets of Voldemort when they are young, and only Slytherin people can open the back room.Harry accidentally found that he could understand the snake, and it was rumored that Harry opened the secret room.Is the danger that Dobby refers to in the secret room?"
Red chili,Jinmin,,"Lin Yuan Huimei, Jiang Shouche, Hiroshi Kiyoshi, Gu Gu, Okuka Hiroshi, Shan Temple Hiroshi, Xingzhima, Iwada Guangyang, Aihe River Huali, Kawatsu Kaki, Ota MakoRongzhi, three households, Geng San, Jinmin, Kanglong, Uchii","Science fiction, animation, suspense, thriller",2006/9/2,90,501411,"In the future, in order to treat more and more mental illness in modern humans, the Institute of Psychiatric Medical Comprehensive in Tokyo has developed a machine that can reflect the dream of others.Through the help of micro -DC, dreams are presented on the display, which is more convenient to find the crux of a person's anxiety.

One day, the three micro -DCs were stolen, and the dreams related to the researchers were invaded one after another, and subsequently were severely harmed.Another identity of the beauty medicalist Chiba Dunzi is the dream detective ""red pepper"". She can experience the dream with patients.In order to prevent thieves from using micro -DC to further do evil, she had to sneak into the victim's dream to find terrorists, and a fantasy and thrilling battle began ...

The film was shortlisted for the 2006 Venice Film Festival main competition unit, and won the 2007 Portuguese Fantasy Film Festival Film Critics Choice Award, and the 2006 Montreal Film Festival Volkswagen Choice Award."
Pirates of the Caribbean,Gor Viberski,,"Johnny Depp, Jeffrey Rash, Orlando Bloom, Kalar Knightli, Jack Davin Potter, Jonathan Presses","Action, fantasy, adventure",2003/11/21,143,899532,"The story takes place in the 17th century and is the most active Caribbean Sea in the legend.The funny and charming Jack Siblo (Johnny Depp) is a pirate active on the Caribbean Sea and has his own ""Black Pearl"" pirate ship.For him, the most pleasant life is to drove the ""Black Pearl"" wandering in the Caribbean Sea and to rob the passing vessel freely.Unfortunately, his enemy, the old Captain Barbarosa (Jeffrey Rush Geoffrey Rush) stole his ""Black Pearl"".Barbesa is a bad guy who is not evil. After he robbed Jack's ""Black Pearl"", he was even more mad. He rampant overbearing on the Caribbean Sea and became the overlord of the entire Caribbean.

Once, Barbesa attacked the small town of Royal Port, and also abducted the governor's daughter Elizabeth Swan (Keira Keira Knightley) and Elizabeth Bagisses Bermians.Er Tonner (Orlando Bloom), who tried to save the captain Jack in prison and stole the Royal Fleet in the UK ..."
Seven sins,David Vinci,,"Morgan Friman, Brad Pitt, Kevin Stanpi, Gwinnis Patlo, Andrew Kevin Walker, John Cassini, Leg E. Katie, Lee, Lee, Lee, Lee, Lee路 Er Mi","Plot, suspense, thriller, crime",1995/9/22,127,980072,"""Great"", ""greed"", ""laziness"", ""jealousy"", ""pride"", ""lust"", ""anger"", this is the seven sins of human nature referred to by Catholic doctrine.In the case of bad homicide in the city, the deceased happened to be those who had these doctrines.The murderer's mysterious crime method made senior calm police officers, Mergan Freeman (Morgan Freeman) and Shi Gang's newly -gang Police Mills (Brad Pitt) all fell into the case.In the mystery.They went to the library to study Dante's ""Divine Comedy"" in an attempt to find a clue from the depiction of human hell, and finally found clues about the murderer's crime plan and means from the world of religious and literary philosophy.The murderer came to surrender, which made everyone relieved, thinking that the case ended there. Unexpectedly, he couldn't escape the killing logic of the seven sins.Mowing"
all,Yang Dechang,,"Wu Nianzhen, Li Kaili, Jin Yanling, Zhang Yangyang, Xiao Shushen, tail shape, Chen Xisheng, Lin Mengjin, Chen Yiwen, Ke Yubun, Zhang Yubang, Ke Suyun, Tang Ruyi, Xu Shuyuan, Zeng Xinyi, Tao Chuanzheng Zhengzheng","Plot, love, family",2017/7/28,173,429285,"NJ (Wu Nianzhen) is a very principled businessman, with his wife Min Min (Jin Yanling), daughter Tingting (Li Kaili), son Yang Yang (Zhang Yangyang), and grandmother living in an ordinary apartment in Taipei.After a troubled wedding, Xiao Gongzi was in a coma because of his grandmother's sudden stroke, and he ushered in a more chaotic day.

Minamin company and family running at both ends, often feeling that she is going to be empty; Tingting has always been guilty for her grandmother's stroke, and love talked about finding that she is just a substitute in the middle; NJ is even more troublesome, the company is facing bankruptcy, and he is unwilling to be.Put down a worthless self -esteem in the eyes of others.Among the family, it seemed that only Yangyang had no trouble. He took the back of various people with a camera to help them grow another pair of eyes. However, the simple sentence of Yangyang made a deeper sadness."
